D_          0 ,QI_          0 ,QF_          0 ,D_          1 ,QI_          1 ,QF_          1 ,D_          2 ,QI_          2 ,QF_          2 ,D_          3 ,QI_          3 ,QF_          3 ,D_          4 ,QI_          4 ,QF_          4 ,D_          5 ,QI_          5 ,QF_          5 ,D_          6 ,QI_          6 ,QF_          6 ,D_          7 ,QI_          7 ,QF_          7
ec96 , 1 ,15 ,4a18 , 1 ,15 ,ea5a , 1 ,15 ,c17a , 1 ,15 ,b9d8 , 1 ,15 ,a2d0 , 1 ,15 ,4cbb , 2 ,14 ,bd92 , 1 ,15 
da64 , 1 ,15 ,bb1c , 1 ,15 ,8d22 , 1 ,15 ,aede , 1 ,15 ,b235 , 2 ,14 ,314c , 1 ,15 ,b1be , 1 ,15 ,bc26 , 2 ,14 
ed9e , 1 ,15 ,5cb4 , 1 ,15 ,b0a8 , 1 ,15 ,647a , 1 ,15 ,141a , 1 ,15 ,42c0 , 1 ,15 ,0486 , 1 ,15 ,3188 , 1 ,15 
5741 , 2 ,14 ,5e12 , 2 ,14 ,f99c , 1 ,15 ,c8d8 , 1 ,15 ,a1f4 , 1 ,15 ,3e92 , 1 ,15 ,4f0e , 1 ,15 ,7cf6 , 1 ,15 
3ebe , 1 ,15 ,c842 , 1 ,15 ,48eb , 2 ,14 ,fe6a , 1 ,15 ,9fca , 2 ,14 ,4446 , 1 ,15 ,cf58 , 1 ,15 ,8ace , 1 ,15 
5b15 , 2 ,14 ,90c0 , 2 ,14 ,a52d , 2 ,14 ,76d4 , 1 ,15 ,f7dc , 1 ,15 ,dbe6 , 1 ,15 ,4442 , 1 ,15 ,51ba , 1 ,15 
5bfe , 1 ,15 ,6036 , 1 ,15 ,1426 , 1 ,15 ,4565 , 2 ,14 ,4e37 , 2 ,14 ,07ae , 1 ,15 ,aa5e , 1 ,15 ,b82b , 2 ,14 
a31e , 2 ,14 ,9876 , 2 ,14 ,eb62 , 1 ,15 ,4fb0 , 2 ,14 ,4931 , 2 ,14 ,03ce , 1 ,15 ,5a8a , 2 ,14 ,9868 , 1 ,15 
992a , 1 ,15 ,4500 , 1 ,15 ,4dcd , 3 ,13 ,c15a , 1 ,15 ,9a20 , 2 ,14 ,4292 , 3 ,13 ,0f5c , 1 ,15 ,0712 , 1 ,15 
579d , 2 ,14 ,af86 , 1 ,15 ,5026 , 1 ,15 ,736c , 1 ,15 ,655c , 1 ,15 ,7860 , 1 ,15 ,e34a , 1 ,15 ,a114 , 1 ,15 
4e8b , 2 ,14 ,3d7e , 1 ,15 ,5cb4 , 1 ,15 ,41ce , 1 ,15 ,fc36 , 1 ,15 ,fb12 , 1 ,15 ,58da , 1 ,15 ,3936 , 1 ,15 
9ca6 , 1 ,15 ,487c , 2 ,14 ,db36 , 1 ,15 ,b450 , 2 ,14 ,f8d8 , 1 ,15 ,fbb8 , 1 ,15 ,3e5c , 1 ,15 ,3628 , 1 ,15 
cd62 , 1 ,15 ,17e8 , 1 ,15 ,1e0a , 1 ,15 ,3d6a , 1 ,15 ,bf9f , 2 ,14 ,4a94 , 1 ,15 ,7d46 , 1 ,15 ,11ba , 1 ,15 
1de0 , 1 ,15 ,2aee , 1 ,15 ,17c2 , 1 ,15 ,0108 , 1 ,15 ,a366 , 1 ,15 ,aa04 , 1 ,15 ,9032 , 1 ,15 ,bab1 , 3 ,13 
6940 , 1 ,15 ,4bfc , 2 ,14 ,5ce1 , 2 ,14 ,a454 , 3 ,13 ,1558 , 1 ,15 ,6333 , 2 ,14 ,d87c , 1 ,15 ,8b8e , 2 ,14 
e5ee , 1 ,15 ,b3eb , 2 ,14 ,0cd0 , 1 ,15 ,d5ee , 1 ,15 ,414e , 1 ,15 ,3354 , 1 ,15 ,5954 , 2 ,14 ,9848 , 1 ,15 
2466 , 1 ,15 ,42f4 , 2 ,14 ,2cb4 , 1 ,15 ,9d7e , 2 ,14 ,4678 , 1 ,15 ,7142 , 2 ,14 ,38a4 , 1 ,15 ,091a , 1 ,15 
0530 , 1 ,15 ,55be , 2 ,14 ,a564 , 2 ,14 ,6b83 , 2 ,14 ,c41c , 1 ,15 ,af42 , 2 ,14 ,c77c , 1 ,15 ,0f56 , 1 ,15 
bf1c , 1 ,15 ,45c8 , 1 ,15 ,a688 , 1 ,15 ,1b9e , 1 ,15 ,280e , 1 ,15 ,d7c2 , 1 ,15 ,0642 , 1 ,15 ,142a , 1 ,15 
4ada , 1 ,15 ,1a4a , 1 ,15 ,cba4 , 1 ,15 ,a468 , 2 ,14 ,e370 , 1 ,15 ,4bbf , 2 ,14 ,5480 , 2 ,14 ,a736 , 2 ,14 
a2bc , 2 ,14 ,aa54 , 2 ,14 ,445c , 2 ,14 ,e8d0 , 1 ,15 ,594c , 2 ,14 ,a1fd , 2 ,14 ,97d0 , 2 ,14 ,498f , 3 ,13 
ece0 , 1 ,15 ,44cf , 2 ,14 ,083e , 1 ,15 ,aa14 , 1 ,15 ,cf3a , 1 ,15 ,6e6a , 1 ,15 ,afdd , 2 ,14 ,61fe , 1 ,15 
b62c , 1 ,15 ,9e74 , 1 ,15 ,f82c , 1 ,15 ,4f38 , 1 ,15 ,5613 , 3 ,13 ,339c , 1 ,15 ,6182 , 2 ,14 ,c222 , 1 ,15 
5467 , 2 ,14 ,aff4 , 1 ,15 ,91de , 1 ,15 ,318a , 1 ,15 ,ed84 , 1 ,15 ,69fc , 1 ,15 ,f99c , 1 ,15 ,67ef , 2 ,14 
4b6b , 2 ,14 ,f7d0 , 1 ,15 ,b1e6 , 1 ,15 ,b9fc , 1 ,15 ,1800 , 1 ,15 ,7164 , 2 ,14 ,b969 , 2 ,14 ,4e48 , 2 ,14 
0734 , 1 ,15 ,e1ce , 1 ,15 ,8722 , 2 ,14 ,c0fa , 1 ,15 ,5c52 , 2 ,14 ,ab95 , 3 ,13 ,2806 , 1 ,15 ,34f2 , 1 ,15 
f188 , 1 ,15 ,2eae , 1 ,15 ,233a , 1 ,15 ,e928 , 1 ,15 ,9031 , 2 ,14 ,a5c2 , 1 ,15 ,9dfe , 1 ,15 ,57a4 , 1 ,15 
8e84 , 1 ,15 ,c3ca , 1 ,15 ,3a7c , 1 ,15 ,5285 , 2 ,14 ,8b40 , 1 ,15 ,b270 , 2 ,14 ,4d06 , 1 ,15 ,9687 , 2 ,14 
458a , 1 ,15 ,d07c , 1 ,15 ,74ec , 1 ,15 ,1d80 , 1 ,15 ,cfe8 , 1 ,15 ,9124 , 1 ,15 ,51c6 , 2 ,14 ,000e , 1 ,15 
cd80 , 1 ,15 ,42cd , 2 ,14 ,fdde , 1 ,15 ,474a , 2 ,14 ,3b56 , 1 ,15 ,9e72 , 1 ,15 ,2126 , 1 ,15 ,abab , 2 ,14 
9a4c , 1 ,15 ,e6c8 , 1 ,15 ,4b08 , 2 ,14 ,a950 , 2 ,14 ,4c8c , 2 ,14 ,ffcc , 1 ,15 ,cf00 , 1 ,15 ,5c94 , 1 ,15 
999d , 2 ,14 ,ecb6 , 1 ,15 ,78f4 , 1 ,15 ,b4d0 , 2 ,14 ,a453 , 2 ,14 ,bab2 , 1 ,15 ,d64e , 1 ,15 ,4c68 , 2 ,14 
4954 , 2 ,14 ,b474 , 1 ,15 ,006c , 1 ,15 ,ad36 , 1 ,15 ,98f2 , 1 ,15 ,b205 , 2 ,14 ,9cf4 , 1 ,15 ,654c , 1 ,15 
2a78 , 1 ,15 ,d018 , 1 ,15 ,b32c , 1 ,15 ,523a , 2 ,14 ,53ac , 2 ,14 ,75a0 , 1 ,15 ,a430 , 2 ,14 ,6af0 , 1 ,15 
11ec , 1 ,15 ,3ed4 , 1 ,15 ,3f00 , 1 ,15 ,a2d4 , 1 ,15 ,3f54 , 1 ,15 ,bd74 , 2 ,14 ,1010 , 1 ,15 ,90b8 , 1 ,15 
4a6d , 2 ,14 ,1572 , 1 ,15 ,3128 , 1 ,15 ,0974 , 1 ,15 ,65b0 , 2 ,14 ,f7c4 , 1 ,15 ,b897 , 2 ,14 ,9500 , 2 ,14 
4b7c , 3 ,13 ,78e0 , 2 ,14 ,7ecc , 1 ,15 ,6192 , 1 ,15 ,a291 , 2 ,14 ,d8ec , 1 ,15 ,a4a4 , 2 ,14 ,2ece , 1 ,15 
b50a , 1 ,15 ,d9a4 , 1 ,15 ,4339 , 3 ,13 ,bae8 , 3 ,13 ,3b14 , 1 ,15 ,f314 , 1 ,15 ,e4d2 , 1 ,15 ,83dc , 1 ,15 
2d92 , 1 ,15 ,3396 , 1 ,15 ,a712 , 2 ,14 ,a76c , 1 ,15 ,4ba3 , 2 ,14 ,0450 , 1 ,15 ,f8c6 , 1 ,15 ,c6ee , 1 ,15 
1e10 , 1 ,15 ,dfca , 1 ,15 ,4fc7 , 2 ,14 ,4ad6 , 1 ,15 ,4e69 , 2 ,14 ,fb20 , 1 ,15 ,6272 , 1 ,15 ,fbcc , 1 ,15 
2344 , 1 ,15 ,bca8 , 2 ,14 ,1538 , 1 ,15 ,71d0 , 2 ,14 ,4c6b , 2 ,14 ,5aee , 2 ,14 ,fe72 , 1 ,15 ,0df0 , 1 ,15 
5582 , 1 ,15 ,9d94 , 1 ,15 ,5ad9 , 2 ,14 ,2b12 , 1 ,15 ,2974 , 1 ,15 ,e6d4 , 1 ,15 ,ab0c , 1 ,15 ,4fbc , 1 ,15 
409d , 2 ,14 ,520f , 2 ,14 ,9e7c , 1 ,15 ,599a , 2 ,14 ,eae2 , 1 ,15 ,434a , 2 ,14 ,ee70 , 1 ,15 ,63dc , 1 ,15 
43ac , 2 ,14 ,ffe0 , 1 ,15 ,5117 , 3 ,13 ,64a8 , 1 ,15 ,396e , 1 ,15 ,5efe , 1 ,15 ,416e , 2 ,14 ,612f , 2 ,14 
0b8e , 1 ,15 ,be89 , 3 ,13 ,40dc , 2 ,14 ,e3de , 1 ,15 ,ddde , 1 ,15 ,98df , 2 ,14 ,c1b8 , 1 ,15 ,8ade , 2 ,14 
a618 , 2 ,14 ,d720 , 1 ,15 ,e978 , 1 ,15 ,4707 , 2 ,14 ,e134 , 1 ,15 ,4562 , 2 ,14 ,059c , 1 ,15 ,c9d8 , 1 ,15 
9fd6 , 1 ,15 ,f5b4 , 1 ,15 ,99c0 , 1 ,15 ,46d8 , 1 ,15 ,7fde , 1 ,15 ,7430 , 1 ,15 ,479d , 2 ,14 ,bf80 , 1 ,15 
4f50 , 1 ,15 ,fd2a , 1 ,15 ,baf6 , 3 ,13 ,9a62 , 1 ,15 ,5594 , 1 ,15 ,7f22 , 1 ,15 ,bec2 , 2 ,14 ,72c2 , 2 ,14 
acb0 , 1 ,15 ,7216 , 1 ,15 ,40ae , 1 ,15 ,b52e , 2 ,14 ,7e80 , 1 ,15 ,fc98 , 1 ,15 ,0180 , 1 ,15 ,f3f4 , 1 ,15 
d514 , 1 ,15 ,4bd4 , 2 ,14 ,bda6 , 2 ,14 ,4bee , 1 ,15 ,c25c , 1 ,15 ,9c84 , 1 ,15 ,3bfa , 1 ,15 ,9104 , 2 ,14 
be2a , 3 ,13 ,ca00 , 1 ,15 ,b6d8 , 1 ,15 ,ae60 , 1 ,15 ,82f4 , 1 ,15 ,0bee , 1 ,15 ,f1d4 , 1 ,15 ,f7be , 1 ,15 
b6c7 , 2 ,14 ,810a , 1 ,15 ,1d76 , 1 ,15 ,d85e , 1 ,15 ,27f4 , 1 ,15 ,da10 , 1 ,15 ,6894 , 2 ,14 ,be35 , 2 ,14 
e606 , 1 ,15 ,107e , 1 ,15 ,4f80 , 1 ,15 ,f4fc , 1 ,15 ,d5da , 1 ,15 ,5fcd , 2 ,14 ,faf2 , 1 ,15 ,d1cc , 1 ,15 
e344 , 1 ,15 ,4098 , 1 ,15 ,bb42 , 2 ,14 ,426c , 1 ,15 ,b4f2 , 1 ,15 ,319a , 1 ,15 ,f81e , 1 ,15 ,251a , 1 ,15 
871c , 2 ,14 ,d3a0 , 1 ,15 ,d748 , 1 ,15 ,40d4 , 1 ,15 ,4216 , 2 ,14 ,cb1a , 1 ,15 ,928a , 2 ,14 ,60bc , 2 ,14 
ceae , 1 ,15 ,b9be , 1 ,15 ,b376 , 2 ,14 ,a994 , 1 ,15 ,b040 , 1 ,15 ,d332 , 1 ,15 ,6d58 , 1 ,15 ,130a , 1 ,15 
feae , 1 ,15 ,bc62 , 1 ,15 ,5038 , 1 ,15 ,3926 , 1 ,15 ,6502 , 2 ,14 ,bbfe , 3 ,13 ,4223 , 2 ,14 ,a0a4 , 1 ,15 
eed6 , 1 ,15 ,27ae , 1 ,15 ,17d8 , 1 ,15 ,35ba , 1 ,15 ,0bae , 1 ,15 ,4356 , 3 ,13 ,d32a , 1 ,15 ,eb9c , 1 ,15 
fe1a , 1 ,15 ,3016 , 1 ,15 ,4920 , 1 ,15 ,37e4 , 1 ,15 ,2ebc , 1 ,15 ,8b0a , 1 ,15 ,240e , 1 ,15 ,a102 , 1 ,15 
fa18 , 1 ,15 ,4170 , 1 ,15 ,7a86 , 1 ,15 ,b81d , 2 ,14 ,c13c , 1 ,15 ,1f52 , 1 ,15 ,5e5a , 1 ,15 ,81ab , 2 ,14 
da28 , 1 ,15 ,6be6 , 1 ,15 ,e540 , 1 ,15 ,2242 , 1 ,15 ,0e60 , 1 ,15 ,f44e , 1 ,15 ,2c3e , 1 ,15 ,aff0 , 2 ,14 
31f8 , 1 ,15 ,5018 , 1 ,15 ,7070 , 1 ,15 ,3a9a , 1 ,15 ,64fa , 1 ,15 ,e398 , 1 ,15 ,8038 , 1 ,15 ,454a , 1 ,15 
0336 , 1 ,15 ,ebbc , 1 ,15 ,d7c0 , 1 ,15 ,162c , 1 ,15 ,4dcc , 1 ,15 ,e5f6 , 1 ,15 ,b8e2 , 1 ,15 ,ee9a , 1 ,15 
8682 , 1 ,15 ,f42c , 1 ,15 ,61bc , 1 ,15 ,998e , 1 ,15 ,019c , 1 ,15 ,5438 , 1 ,15 ,732a , 1 ,15 ,9bc3 , 2 ,14 
e5a0 , 1 ,15 ,a9fc , 2 ,14 ,1d84 , 1 ,15 ,304a , 1 ,15 ,7d08 , 1 ,15 ,b47d , 2 ,14 ,7c16 , 1 ,15 ,d74a , 1 ,15 
5558 , 1 ,15 ,2086 , 1 ,15 ,e7f8 , 1 ,15 ,519e , 1 ,15 ,d832 , 1 ,15 ,bc0e , 2 ,14 ,becc , 1 ,15 ,e050 , 1 ,15 
4f25 , 3 ,13 ,de16 , 1 ,15 ,1230 , 1 ,15 ,19e2 , 1 ,15 ,3fe0 , 1 ,15 ,a046 , 1 ,15 ,3cd4 , 1 ,15 ,42cf , 2 ,14 
2926 , 1 ,15 ,f994 , 1 ,15 ,ca14 , 1 ,15 ,6024 , 1 ,15 ,b787 , 3 ,13 ,ffc6 , 1 ,15 ,8292 , 1 ,15 ,2c90 , 1 ,15 
296a , 1 ,15 ,8944 , 1 ,15 ,35c0 , 1 ,15 ,8958 , 1 ,15 ,68d0 , 1 ,15 ,8b18 , 2 ,14 ,71d4 , 1 ,15 ,20b2 , 1 ,15 
e74a , 1 ,15 ,a432 , 2 ,14 ,3b88 , 1 ,15 ,a6f3 , 2 ,14 ,0cde , 1 ,15 ,cbcc , 1 ,15 ,d9fa , 1 ,15 ,bef2 , 2 ,14 
c8b6 , 1 ,15 ,cdf0 , 1 ,15 ,ed98 , 1 ,15 ,5d7c , 2 ,14 ,0edc , 1 ,15 ,3492 , 1 ,15 ,52db , 2 ,14 ,ae66 , 1 ,15 
400d , 3 ,13 ,b930 , 3 ,13 ,07fc , 1 ,15 ,b4cc , 2 ,14 ,79d0 , 1 ,15 ,51ff , 2 ,14 ,aaa9 , 2 ,14 ,67d8 , 1 ,15 
bc78 , 1 ,15 ,aa7f , 3 ,13 ,67ac , 1 ,15 ,33de , 1 ,15 ,0350 , 1 ,15 ,62fe , 1 ,15 ,4bf6 , 1 ,15 ,4850 , 2 ,14 
9b02 , 1 ,15 ,48b8 , 1 ,15 ,0058 , 1 ,15 ,662a , 1 ,15 ,e012 , 1 ,15 ,f36c , 1 ,15 ,fdf2 , 1 ,15 ,14ae , 1 ,15 
c20a , 1 ,15 ,7926 , 1 ,15 ,516f , 2 ,14 ,23f6 , 1 ,15 ,73fc , 1 ,15 ,f4e2 , 1 ,15 ,b103 , 2 ,14 ,ba47 , 2 ,14 
9bf8 , 1 ,15 ,90ac , 1 ,15 ,f498 , 1 ,15 ,b50a , 2 ,14 ,7554 , 1 ,15 ,05bc , 1 ,15 ,8146 , 1 ,15 ,1e5e , 1 ,15 
b255 , 2 ,14 ,2706 , 1 ,15 ,33ac , 1 ,15 ,1724 , 1 ,15 ,ec70 , 1 ,15 ,5bdc , 1 ,15 ,c5a8 , 1 ,15 ,bbd2 , 1 ,15 
d38c , 1 ,15 ,b2be , 1 ,15 ,3328 , 1 ,15 ,5d76 , 1 ,15 ,09e0 , 1 ,15 ,1e7a , 1 ,15 ,b44e , 1 ,15 ,c19a , 1 ,15 
d0e6 , 1 ,15 ,28ea , 1 ,15 ,d72e , 1 ,15 ,ac1e , 1 ,15 ,00ca , 1 ,15 ,24b0 , 1 ,15 ,01e4 , 1 ,15 ,419d , 2 ,14 
b544 , 2 ,14 ,b547 , 2 ,14 ,3b32 , 1 ,15 ,49c4 , 1 ,15 ,50e4 , 1 ,15 ,daf2 , 1 ,15 ,a3d5 , 2 ,14 ,91af , 2 ,14 
f876 , 1 ,15 ,4188 , 2 ,14 ,4675 , 2 ,14 ,496e , 1 ,15 ,4449 , 2 ,14 ,1268 , 1 ,15 ,671c , 1 ,15 ,22a0 , 1 ,15 
ba85 , 2 ,14 ,db74 , 1 ,15 ,b2ce , 1 ,15 ,ad8e , 2 ,14 ,81ac , 1 ,15 ,e7de , 1 ,15 ,e5ea , 1 ,15 ,448e , 1 ,15 
ec7c , 1 ,15 ,f046 , 1 ,15 ,7382 , 1 ,15 ,d110 , 1 ,15 ,4a62 , 1 ,15 ,ace6 , 2 ,14 ,2d8c , 1 ,15 ,f37a , 1 ,15 
b9ae , 2 ,14 ,0ce0 , 1 ,15 ,e7a4 , 1 ,15 ,d93e , 1 ,15 ,bd28 , 1 ,15 ,333a , 1 ,15 ,f7d8 , 1 ,15 ,2ad8 , 1 ,15 
4611 , 3 ,13 ,3428 , 1 ,15 ,2436 , 1 ,15 ,cd20 , 1 ,15 ,76ea , 2 ,14 ,39a6 , 1 ,15 ,9fc4 , 1 ,15 ,525e , 2 ,14 
a6a8 , 2 ,14 ,ca1e , 1 ,15 ,4a0b , 3 ,13 ,f218 , 1 ,15 ,bae8 , 1 ,15 ,9d24 , 1 ,15 ,81a0 , 2 ,14 ,9da9 , 2 ,14 
2462 , 1 ,15 ,4cf4 , 2 ,14 ,a98c , 2 ,14 ,4a49 , 2 ,14 ,a182 , 1 ,15 ,319c , 1 ,15 ,b936 , 2 ,14 ,cb00 , 1 ,15 
5cca , 1 ,15 ,9d0b , 2 ,14 ,c2c8 , 1 ,15 ,0c2e , 1 ,15 ,8faa , 1 ,15 ,11b2 , 1 ,15 ,97fc , 2 ,14 ,434c , 1 ,15 
5aa1 , 3 ,13 ,145c , 1 ,15 ,48b3 , 2 ,14 ,a46c , 1 ,15 ,be7c , 2 ,14 ,996d , 2 ,14 ,35ee , 1 ,15 ,a9c8 , 1 ,15 
b48c , 2 ,14 ,6f76 , 1 ,15 ,4abe , 1 ,15 ,e772 , 1 ,15 ,55d2 , 2 ,14 ,0fce , 1 ,15 ,085e , 1 ,15 ,bf52 , 1 ,15 
87a1 , 2 ,14 ,542c , 1 ,15 ,686c , 1 ,15 ,eaa2 , 1 ,15 ,aebc , 1 ,15 ,e3b6 , 1 ,15 ,9923 , 2 ,14 ,1ad2 , 1 ,15 
3c30 , 1 ,15 ,2b56 , 1 ,15 ,4601 , 2 ,14 ,6c44 , 1 ,15 ,e71e , 1 ,15 ,5ec5 , 2 ,14 ,384a , 1 ,15 ,b30a , 2 ,14 
3b44 , 1 ,15 ,7430 , 1 ,15 ,9fe0 , 2 ,14 ,14f2 , 1 ,15 ,4c8c , 1 ,15 ,1ed4 , 1 ,15 ,cd24 , 1 ,15 ,4f4c , 1 ,15 
bf74 , 3 ,13 ,b27e , 1 ,15 ,4d92 , 1 ,15 ,b876 , 2 ,14 ,a55c , 2 ,14 ,9c90 , 1 ,15 ,b8be , 3 ,13 ,4536 , 1 ,15 
7272 , 1 ,15 ,bc16 , 2 ,14 ,6b0a , 2 ,14 ,437e , 1 ,15 ,cae0 , 1 ,15 ,bed5 , 2 ,14 ,b4e6 , 1 ,15 ,a20d , 2 ,14 
2966 , 1 ,15 ,a5a0 , 2 ,14 ,bb01 , 2 ,14 ,b858 , 3 ,13 ,43f4 , 3 ,13 ,0efe , 1 ,15 ,94a2 , 1 ,15 ,655d , 2 ,14 
fa00 , 1 ,15 ,a670 , 1 ,15 ,b22c , 1 ,15 ,67ea , 1 ,15 ,b88b , 2 ,14 ,ad32 , 1 ,15 ,b1ed , 2 ,14 ,bd3a , 2 ,14 
38c4 , 1 ,15 ,8868 , 1 ,15 ,30a4 , 1 ,15 ,bcbd , 3 ,13 ,6e2e , 2 ,14 ,aba6 , 2 ,14 ,dd00 , 1 ,15 ,b4f7 , 2 ,14 
afbc , 1 ,15 ,44ef , 2 ,14 ,ba36 , 2 ,14 ,f02c , 1 ,15 ,3744 , 1 ,15 ,9748 , 1 ,15 ,e3ce , 1 ,15 ,e20c , 1 ,15 
a32a , 1 ,15 ,c80c , 1 ,15 ,518b , 2 ,14 ,2744 , 1 ,15 ,4f58 , 1 ,15 ,95dc , 2 ,14 ,de8e , 1 ,15 ,66fc , 1 ,15 
1b50 , 1 ,15 ,aca5 , 2 ,14 ,5c78 , 1 ,15 ,b07b , 2 ,14 ,cc72 , 1 ,15 ,cf80 , 1 ,15 ,57fa , 1 ,15 ,3b48 , 1 ,15 
daa4 , 1 ,15 ,e8b2 , 1 ,15 ,9f34 , 1 ,15 ,f782 , 1 ,15 ,a602 , 2 ,14 ,d714 , 1 ,15 ,f05a , 1 ,15 ,f850 , 1 ,15 
a762 , 2 ,14 ,dd22 , 1 ,15 ,6196 , 1 ,15 ,b953 , 3 ,13 ,d38e , 1 ,15 ,b6dc , 1 ,15 ,a7f0 , 1 ,15 ,2bec , 1 ,15 
426f , 2 ,14 ,5771 , 2 ,14 ,c584 , 1 ,15 ,b1dd , 2 ,14 ,1ee8 , 1 ,15 ,9cc6 , 2 ,14 ,4cdf , 2 ,14 ,54e6 , 2 ,14 
b99e , 3 ,13 ,67a6 , 1 ,15 ,35d2 , 1 ,15 ,2742 , 1 ,15 ,40a9 , 2 ,14 ,2b26 , 1 ,15 ,4d29 , 2 ,14 ,b1e2 , 1 ,15 
97ca , 1 ,15 ,e8fa , 1 ,15 ,a1c0 , 2 ,14 ,01aa , 1 ,15 ,48b4 , 2 ,14 ,b8f0 , 3 ,13 ,166e , 1 ,15 ,925e , 2 ,14 
16b4 , 2 ,14 ,2138 , 1 ,15 ,4ba2 , 1 ,15 ,49a1 , 3 ,13 ,e3d8 , 1 ,15 ,9502 , 2 ,14 ,1200 , 1 ,15 ,01f2 , 1 ,15 
b92e , 2 ,14 ,b2cd , 2 ,14 ,de78 , 1 ,15 ,ed86 , 1 ,15 ,27ce , 1 ,15 ,54dc , 2 ,14 ,dc9a , 1 ,15 ,8984 , 2 ,14 
18a2 , 1 ,15 ,7a08 , 1 ,15 ,bf0d , 2 ,14 ,ae72 , 2 ,14 ,1fca , 1 ,15 ,6472 , 2 ,14 ,e9f8 , 1 ,15 ,2ba6 , 1 ,15 
372a , 1 ,15 ,c4c6 , 1 ,15 ,0c3c , 1 ,15 ,8a7c , 1 ,15 ,2c46 , 1 ,15 ,955c , 1 ,15 ,7bf8 , 1 ,15 ,e6ea , 1 ,15 
f06a , 1 ,15 ,cb8a , 1 ,15 ,61e6 , 2 ,14 ,3472 , 1 ,15 ,61a7 , 2 ,14 ,3c8e , 1 ,15 ,4f06 , 2 ,14 ,91c8 , 1 ,15 
5318 , 2 ,14 ,bff5 , 3 ,13 ,1786 , 1 ,15 ,ac3c , 3 ,13 ,554b , 2 ,14 ,5a26 , 1 ,15 ,2fba , 1 ,15 ,d572 , 1 ,15 
7e99 , 2 ,14 ,3292 , 1 ,15 ,a080 , 1 ,15 ,bf62 , 2 ,14 ,7de2 , 1 ,15 ,613c , 1 ,15 ,ad27 , 2 ,14 ,982e , 3 ,13 
f34e , 1 ,15 ,11f8 , 1 ,15 ,bdd1 , 2 ,14 ,97df , 2 ,14 ,f65a , 1 ,15 ,931c , 1 ,15 ,8066 , 1 ,15 ,a788 , 2 ,14 
a132 , 2 ,14 ,8eba , 1 ,15 ,8e3e , 1 ,15 ,9e8b , 2 ,14 ,ee56 , 1 ,15 ,246a , 1 ,15 ,9fd2 , 1 ,15 ,2450 , 1 ,15 
7cd2 , 1 ,15 ,73b2 , 1 ,15 ,900e , 1 ,15 ,c192 , 1 ,15 ,7022 , 2 ,14 ,bfa4 , 3 ,13 ,0048 , 1 ,15 ,6e64 , 1 ,15 
46cc , 1 ,15 ,b372 , 1 ,15 ,c6c0 , 1 ,15 ,a5fe , 1 ,15 ,e09a , 1 ,15 ,3208 , 1 ,15 ,ba99 , 2 ,14 ,63d2 , 1 ,15 
c6aa , 1 ,15 ,ea3a , 1 ,15 ,287c , 1 ,15 ,4d52 , 1 ,15 ,a1ce , 2 ,14 ,c7ce , 1 ,15 ,e97e , 1 ,15 ,42d8 , 2 ,14 
45a0 , 1 ,15 ,97c6 , 1 ,15 ,ed0a , 1 ,15 ,69d1 , 2 ,14 ,ef50 , 1 ,15 ,ead4 , 1 ,15 ,124a , 1 ,15 ,7764 , 2 ,14 
2ba2 , 1 ,15 ,af61 , 2 ,14 ,6afc , 1 ,15 ,43c8 , 1 ,15 ,d844 , 1 ,15 ,5461 , 2 ,14 ,73e6 , 1 ,15 ,dcd4 , 1 ,15 
7a7c , 1 ,15 ,8fb6 , 1 ,15 ,d31a , 1 ,15 ,2770 , 1 ,15 ,b3e6 , 2 ,14 ,63dc , 2 ,14 ,3ad6 , 1 ,15 ,099a , 1 ,15 
5eea , 1 ,15 ,9aec , 1 ,15 ,b7d5 , 2 ,14 ,9d20 , 1 ,15 ,bfd2 , 2 ,14 ,502c , 2 ,14 ,cc66 , 1 ,15 ,ba55 , 3 ,13 
42e8 , 1 ,15 ,1c1a , 1 ,15 ,74e4 , 1 ,15 ,41b0 , 2 ,14 ,340e , 1 ,15 ,bd43 , 2 ,14 ,2258 , 1 ,15 ,b192 , 1 ,15 
52a8 , 1 ,15 ,466e , 3 ,13 ,79d2 , 2 ,14 ,3e80 , 1 ,15 ,5201 , 2 ,14 ,2046 , 1 ,15 ,47a4 , 3 ,13 ,9888 , 2 ,14 
018c , 1 ,15 ,cf4c , 1 ,15 ,74f9 , 2 ,14 ,46bc , 2 ,14 ,c2be , 1 ,15 ,ceb6 , 1 ,15 ,de5e , 1 ,15 ,2c1c , 1 ,15 
3938 , 1 ,15 ,46c0 , 3 ,13 ,5450 , 1 ,15 ,5742 , 1 ,15 ,5da6 , 1 ,15 ,cdd4 , 1 ,15 ,a79e , 1 ,15 ,6dec , 1 ,15 
7cac , 1 ,15 ,30e6 , 1 ,15 ,9342 , 1 ,15 ,b7e0 , 2 ,14 ,3fb8 , 1 ,15 ,0b6c , 1 ,15 ,4e34 , 1 ,15 ,bf23 , 3 ,13 
71dd , 2 ,14 ,43c4 , 1 ,15 ,91c2 , 1 ,15 ,baba , 1 ,15 ,05b4 , 1 ,15 ,3b58 , 1 ,15 ,dcae , 1 ,15 ,9ac6 , 2 ,14 
